,Unnamed: 0,area_m2,floor,num_floors,num_rooms,author,housing_fund,children,pets,y,balcony,condition,bathroom,region,city,street_name,zone_type,dist_to_center
173,173,53.0,3,9,2,private,secondary,yes,no,280.0,1,individual,2,centru,Chisinau,Albisoara,central,6.0
174,174,64.0,1,2,2,agency,primary,yes,yes,640.0,0,modern,1,rascani,Chisinau,Zimbrului,central,2.8139533523316853
175,175,70.0,5,5,3,private,secondary,yes,no,200.0,1,individual,1,centru,Chisinau,Mihai,central,2.6940681841953014
176,176,98.0,12,16,3,agency,primary,yes,no,750.0,1,modern,1,centru,Chisinau,Melestiu,central,1.3829235460311171
177,177,55.0,4,5,2,agency,secondary,no,no,500.0,1,modern,1,centru,Chisinau,Independentei,central,3.473231882894152
178,178,70.0,3,5,3,agency,secondary,no,no,400.0,0,modern,1,ciocana,Chisinau,Podul,central,1.87858560607234
179,179,53.0,5,9,1,agency,primary,yes,no,700.0,0,modern,2,centru,Chisinau,Serghei,central,2.3092610680232264
180,180,40.0,5,10,1,agency,primary,no,no,400.0,1,modern,1,buiucani,Chisinau,Ion,central,4.860874124520007
181,181,55.0,4,5,2,agency,secondary,no,no,500.0,1,modern,1,centru,Chisinau,Nikolai,central,3.022515128105024
182,182,70.0,6,7,2,agency,primary,no,no,800.0,1,modern,1,rascani,Chisinau,Pietrariei,central,8.129403523963532
183,183,140.0,3,6,3,agency,primary,no,no,1200.0,1,modern,2,centru,Chisinau,Mihai,central,2.6940681841953014
184,184,50.0,6,6,1,agency,primary,no,no,350.0,0,modern,1,buiucani,Chisinau,Ghioceilor,central,5.169326006125034
185,185,41.0,8,8,1,private,primary,no,no,370.0,0,modern,1,botanica,Chisinau,Costiujeni,central,6.267271231904048
186,186,55.48638153076172,1,-1,1,private,secondary,no,yes,200.0,0,individual,1,botanica,Chisinau,Nikolai,central,3.022515128105024
187,187,67.11156463623047,1,-1,1,private,secondary,yes,no,200.0,0,individual,1,centru,Chisinau,Burebista,central,12.762548626789066
188,188,80.0,4,10,2,agency,primary,yes,no,450.0,0,modern,2,telecentru,Chisinau,Gheorghe,periphery,1.699888915322141
189,189,19.0,1,1,1,private,secondary,yes,yes,250.0,0,individual,1,centru,Chisinau,Albisoara,central,6.0
190,190,42.0,1,1,1,private,primary,no,no,300.0,0,modern,1,telecentru,Chisinau,Constantin,periphery,1.3139694193863054
191,191,63.0,6,10,2,agency,primary,yes,no,790.0,1,modern,1,sculeni,Chisinau,Calea,periphery,2.563872447853333
192,192,55.0,4,9,2,private,secondary,no,no,490.0,2,modern,1,botanica,Chisinau,Independentei,central,3.473231882894152
193,193,78.0,7,12,2,private,primary,yes,yes,950.0,2,individual,1,buiucani,Chisinau,Columna,central,4.434859094165724
194,194,53.0,1,6,1,private,primary,no,no,400.0,1,modern,1,buiucani,Chisinau,Liviu,central,8.433322683428162
195,195,184.0,3,3,4,private,secondary,yes,no,510.0,0,modern,2,centru,Chisinau,Grigore,central,2.852854131601227
196,196,60.0,3,14,2,agency,primary,yes,no,1500.0,2,modern,1,centru,Chisinau,Columna,central,4.434859094165724
197,197,52.0,7,10,1,private,primary,no,no,300.0,1,modern,1,buiucani,Chisinau,Mihail,central,2.99590750748185
198,198,65.0,1,1,2,private,primary,yes,no,400.0,0,modern,1,centru,Chisinau,Mihail,central,2.99590750748185
199,199,28.0,2,2,1,private,secondary,no,no,200.0,0,individual,1,veche,Chisinau,Podgorenilor,central,5.249435903991893
200,200,70.0,2,-1,3,private,secondary,no,no,200.0,0,individual,2,botanica,Chisinau,Bogdan,central,3.924482926351163
201,201,72.0,4,5,2,agency,primary,yes,yes,1000.0,1,modern,1,centru,Chisinau,Vasile,central,4.693246145072489
202,202,55.0,2,1,2,private,primary,yes,yes,500.0,0,modern,1,rascani,Chisinau,Bogdan,central,3.924482926351163
203,203,60.0,5,17,1,agency,primary,yes,no,1500.0,0,individual,1,centru,Chisinau,Albisoara,central,6.0
204,204,58.0,2,12,2,private,secondary,yes,no,320.0,2,modern,1,centru,Chisinau,Albisoara,central,6.0
205,205,50.0,5,6,1,agency,primary,yes,no,500.0,0,modern,1,telecentru,Chisinau,Miorita,periphery,14.177717417175268
206,206,60.0,2,15,2,private,primary,no,no,500.0,0,modern,1,telecentru,Chisinau,Gheorghe,periphery,1.699888915322141
207,207,42.0,10,12,1,agency,primary,yes,no,200.0,0,modern,1,buiucani,Chisinau,Vasile,central,4.693246145072489
208,208,70.0,8,10,2,agency,primary,yes,no,650.0,1,modern,1,centru,Chisinau,Andrei,central,3.9691677554186366
209,209,100.0,8,9,3,agency,secondary,yes,no,600.0,0,modern,2,centru,Chisinau,Mihail,central,2.99590750748185
210,210,70.0,9,12,2,agency,primary,yes,no,550.0,0,modern,1,botanica,Chisinau,Tudor,central,3.135450314553256
211,211,90.0,4,4,2,agency,primary,yes,yes,1500.0,2,modern,2,centru,Chisinau,Columna,central,4.434859094165724
212,212,85.0,5,17,2,agency,primary,yes,no,1200.0,1,modern,1,rascani,Chisinau,Vladimir,central,3.393370952357009
213,213,90.0,5,17,3,agency,primary,yes,no,850.0,0,modern,1,centru,Chisinau,Melestiu,central,1.3829235460311171
214,214,60.0,2,2,0,private,secondary,no,no,200.0,0,modern,1,rascani,Chisinau,Sportivnaia,central,6.0
215,215,85.0,3,15,3,agency,primary,yes,no,700.0,1,modern,1,rascani,Chisinau,Alexandr,central,3.1319178146844364
216,216,73.0,2,5,2,agency,secondary,yes,no,550.0,0,modern,1,centru,Chisinau,Trandafirilor,central,2.258308061229285
217,217,24.0,1,1,1,private,primary,yes,yes,380.0,0,individual,1,centru,Chisinau,31,central,6.542239833918318
218,218,35.0,2,5,1,private,secondary,yes,no,270.0,0,individual,1,botanica,Chisinau,Trandafirilor,central,2.258308061229285
219,219,140.0,8,10,3,agency,primary,yes,no,1000.0,1,modern,2,centru,Chisinau,Grenoble,central,3.68421559143802
